"id","text","completed","due","priority","category"
"1","Finish HW9","true","2021-08-02","1","school"
"2","Mail passport","false","2021-08-28","3","?"
"3","Study for finals","true","?","2","school"
"4","Clean the house","false","2021-08-15","3","home"
"5","Buy yarn for blanket, stuffed toy","false","?","3","home"
"6","changemain","false","2022-04-20","1","?"
"7","changemain","false","2022-04-20","1","?"
"8","changemain","false","2022-04-20","1","?"
"9","newtodotest","false","?","3","?"
"10","newtodotest","false","?","3","?"
"11","completetodo","false","?","3","?"
"12","newtodotest","false","?","3","?"
"13","Another todo","false","?","3","?"
"14","Another todo","false","?","3","?"
"15","Another todo","false","?","3","?"
"16","Another todo","false","?","3","?"